,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
0,Пионер,developer,https://www.cian.ru/sale/flat/295977375/,Москва,sale,flat,6,11,2,55.8,-1,0,45080596,Даниловский,,,Павелецкая,Опус ЖК
1,,,https://www.cian.ru/sale/flat/285924533/,Москва,sale,flat,4,9,2,87.9,-1,0,158220000,Хамовники,2-й Неопалимовский переулок,3,Парк Культуры,Клубный особняк High Garden
2,Sminex,developer,https://www.cian.ru/sale/flat/297972141/,Москва,sale,flat,2,5,2,88.5,-1,0,198460000,Тверской,,,Площадь Революции,Ильинка 3/8 ЖК
3,Станислав Горбачевский,realtor,https://www.cian.ru/sale/flat/283485284/,Москва,sale,flat,3,19,-1,234.6,-1,0,125000000,Тверской,Краснопролетарская ,7,Новослободская,Ласточкино гнездо
4,5 ДОНСКОЙ,developer,https://www.cian.ru/sale/flat/299380394/,Москва,sale,flat,21,75,2,64.07,-1,0,30790760,Донской,5-й Донской проезд,вл21к6,Площадь Гагарина,The Five
5,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/297733877/,Москва,sale,flat,80,85,4,294.6,-1,0,495503707,Пресненский,Московский международный деловой центр Москва-Сити тер.,,Деловой центр,
6,VESPER,developer,https://www.cian.ru/sale/flat/289484533/,Москва,sale,flat,8,9,2,62.3,-1,0,85974000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
7,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/295370167/,Москва,sale,flat,2,6,3,110.5,-1,0,99000000,Пресненский,Малая Бронная ,32,Пушкинская,
8,MR Group,developer,https://www.cian.ru/sale/flat/300743108/,Москва,sale,flat,4,27,2,58.0,-1,0,30272464,Даниловский,Дубининская ,59к6,Серпуховская,Павелецкая Сити
9,MadeState,real_estate_agent,https://www.cian.ru/sale/flat/285823542/,Москва,sale,flat,9,21,4,200.0,-1,0,60000000,Можайский,Можайское шоссе,2,Кунцевская,
10,Sminex,developer,https://www.cian.ru/sale/flat/293713880/,Москва,sale,flat,2,14,2,85.6,-1,0,156750000,Якиманка,,,Боровицкая,Лаврушинский ЖК
11,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/291778742/,Москва,sale,flat,37,37,-1,135.3,-1,0,125000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
12,VESPER,developer,https://www.cian.ru/sale/flat/262519758/,Москва,sale,flat,-1,-1,-1,2.0,-1,0,103787040,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
13,,,https://www.cian.ru/sale/flat/285924764/,Москва,sale,flat,4,9,3,108.8,-1,0,195840000,Хамовники,2-й Неопалимовский переулок,3,Парк Культуры,Клубный особняк High Garden
14,Sminex,developer,https://www.cian.ru/sale/flat/299801831/,Москва,sale,flat,2,23,2,56.0,-1,0,50550000,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
15,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/298866325/,Москва,sale,flat,10,10,-1,239.9,-1,0,215900000,Тверской, Палиха,4,Менделеевская,Клубный дом Maison Rouge
16,Sminex,developer,https://www.cian.ru/sale/flat/294328854/,Москва,sale,flat,3,6,2,120.3,-1,0,220620000,Басманный,Потаповский переулок,5С4,Чистые пруды,Чистые Пруды
17,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/288460497/,Москва,sale,flat,6,6,4,324.5,-1,0,250000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
18,ANT Development,developer,https://www.cian.ru/sale/flat/283856125/,Москва,sale,flat,22,34,2,50.6,-1,0,53851259,Дорогомилово,Поклонная ,9,Кутузовская,Поклонная 9
19,EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300214839/,Москва,sale,flat,8,24,3,65.0,-1,0,49900000,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия
20,ID 39404589,developer,https://www.cian.ru/sale/flat/300762128/,Москва,sale,flat,15,34,2,39.6,-1,0,17281440,Нагорный,,2,Нагорная,Твелв ЖК
21,ID 413522,realtor,https://www.cian.ru/sale/flat/300509461/,Москва,sale,flat,8,21,3,65.0,-1,0,49900000,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия
22,Regions Development,developer,https://www.cian.ru/sale/flat/300783117/,Москва,sale,flat,2,24,2,69.7,-1,0,28375022,Нагатинский затон,проспект Андропова,9/1к2,Технопарк,Dream Towers
23,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539749/,Москва,sale,flat,8,8,3,81.0,-1,0,50000000,Арбат, Арбат,51С1,Смоленская,
24,СЗ Варшава,representative_developer,https://www.cian.ru/sale/flat/300113456/,Москва,sale,flat,2,9,2,75.1,-1,0,75100000,Якиманка,Ленинский проспект,2,Октябрьская,Клубный дом CULT
25,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539770/,Москва,sale,flat,3,5,-1,170.0,-1,0,75000000,Тверской, Большая Дмитровка,20С2,Пушкинская,
26,MR Group,developer,https://www.cian.ru/sale/flat/299928834/,Москва,sale,flat,4,17,2,76.65,-1,0,85244381,Мещанский,м. Цветной бульвар,,Цветной бульвар,Клубный дом Forum
27,SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/297805133/,Москва,sale,flat,7,12,2,78.0,-1,0,104900000,Хамовники, Ефремова,10с1к4/2,Фрунзенская,Садовые кварталы
28,ID 39404589,developer,https://www.cian.ru/sale/flat/300762107/,Москва,sale,flat,10,27,2,38.7,-1,0,18707580,Даниловский,,,Серпуховская,Era
29,ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/295016965/,Москва,sale,flat,2,28,1,32.8,-1,0,16300000,Нагатино-Садовники,Варшавское шоссе,37Ак3,Нагатинская,Rotterdam
30,Hutton Development,developer,https://www.cian.ru/sale/flat/299066778/,Москва,sale,flat,4,17,2,87.6,-1,0,50808000,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
31,ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/295901911/,Москва,sale,flat,14,29,2,54.7,-1,0,26500000,Нагатино-Садовники,Варшавское шоссе,37Ак3,Нагатинская,Rotterdam
32,Пионер,developer,https://www.cian.ru/sale/flat/298380135/,Москва,sale,flat,6,18,2,46.4,-1,0,31647602,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT
33,ID 413522,realtor,https://www.cian.ru/sale/flat/300509437/,Москва,sale,flat,7,12,2,78.0,-1,0,104750000,Хамовники, Ефремова,10,Фрунзенская,Садовые кварталы
34,Sminex,developer,https://www.cian.ru/sale/flat/300266348/,Москва,sale,flat,2,25,2,76.3,-1,0,74540000,Пресненский,Электрический переулок,1с22,Белорусская,Квартал Тишинский бульвар
35,Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300006012/,Москва,sale,flat,8,8,3,81.0,-1,0,50000000,Арбат, Арбат,51С1,Смоленская,
36,ID 39404589,developer,https://www.cian.ru/sale/flat/300712642/,Москва,sale,flat,23,42,2,41.6,-1,0,25380160,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo
37,Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300689383/,Москва,sale,flat,3,5,-1,170.0,-1,0,75000000,Тверской, Большая Дмитровка,20С2,Пушкинская,
38,Absolute Premium,developer,https://www.cian.ru/sale/flat/294518637/,Москва,sale,flat,4,17,2,49.8,-1,0,52006000,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
39,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/291962439/,Москва,sale,flat,11,12,4,110.5,-1,0,78500000,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
40,Компания Пионер,developer,https://www.cian.ru/sale/flat/296738060/,Москва,sale,flat,-1,-1,-1,202.0,-1,0,24675168,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
41,Marry Lane Group,real_estate_agent,https://www.cian.ru/sale/flat/300776785/,Москва,sale,flat,33,44,2,62.0,-1,0,42500000,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
42,Ташир,developer,https://www.cian.ru/sale/flat/264099924/,Москва,sale,flat,3,32,2,77.2,-1,0,39333400,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe
43,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299644232/,Москва,sale,flat,2,21,3,115.0,-1,0,103000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
44,COLDY,developer,https://www.cian.ru/sale/flat/297997312/,Москва,sale,flat,-1,-1,-1,202.0,-1,0,303725598,Хамовники,переулок 1-й Тружеников,12,Киевская,Хамовники 12
45,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/281500564/,Москва,sale,flat,4,6,-1,277.0,-1,0,119000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
46,Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298516517/,Москва,sale,flat,2,11,2,47.0,-1,0,24524600,,,В14 кв-л,Павшино,Сберсити ЖК
47,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539712/,Москва,sale,flat,2,7,3,90.0,-1,0,80000000,Пресненский,Большой Козихинский переулок,19/6,Пушкинская,
48,EraOneHolding,developer,https://www.cian.ru/sale/flat/284404561/,Москва,sale,flat,8,8,2,121.2,-1,0,146715789,Арбат, Арбат,24,Смоленская,Turandot Residences
49,ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/284452564/,Москва,sale,flat,15,19,3,83.2,-1,0,36000000,Нагатино-Садовники,Варшавское шоссе,37АК1С4,Нагатинская,Rotterdam
50,FORMA,developer,https://www.cian.ru/sale/flat/298003664/,Москва,sale,flat,13,33,2,74.81,-1,0,47510933,Пресненский,к2.3,к2.3,Белорусская,Репаблик ЖК
51,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/291445703/,Москва,sale,flat,6,32,4,189.2,-1,0,82000000,Щукино,Авиационная ,79Б,Щукинская,Алые Паруса
52,Сбербанк Капитал,developer,https://www.cian.ru/sale/flat/288177346/,Москва,sale,flat,2,7,2,112.8,-1,0,106945102,Якиманка,Софийская набережная,36,Новокузнецкая,Резиденция 1864
53,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/293126875/,Москва,sale,flat,21,23,4,244.1,-1,0,78000000,Хорошевский, Гризодубовой,2,ЦСКА,Гранд-парк
54,Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/299934989/,Москва,sale,flat,4,13,2,81.26,-1,0,34080444,,,В21 кв-л,Опалиха,Сберсити ЖК
55,ID 112609323,realtor,https://www.cian.ru/sale/flat/299095523/,Москва,sale,flat,2,6,4,184.9,-1,0,182681200,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
56,MR Group,developer,https://www.cian.ru/sale/flat/300289246/,Москва,sale,flat,37,54,2,55.42,-1,0,25539316,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
57,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/298128369/,Москва,sale,flat,3,6,-1,119.0,-1,0,67000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
58,Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298516183/,Москва,sale,flat,2,12,2,85.94,-1,0,37315148,,,В19 кв-л,Павшино,Сберсити ЖК
59,Андрей Косов,realtor,https://www.cian.ru/sale/flat/300660542/,Москва,sale,flat,7,18,3,97.0,-1,0,167000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
60,Мангазея,developer,https://www.cian.ru/sale/flat/299168071/,Москва,sale,flat,10,21,2,66.8,-1,0,34068000,Щукино,Щукинская ,,Щукинская,Интонация
61,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/252671392/,Москва,sale,flat,1,4,4,182.5,-1,0,186883800,Арбат,Большой Афанасьевский переулок,30,Арбатская,
62,Sminex,developer,https://www.cian.ru/sale/flat/297972137/,Москва,sale,flat,2,5,1,54.7,-1,0,126110000,Тверской,,,Площадь Революции,Ильинка 3/8 ЖК
63,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/291599656/,Москва,sale,flat,4,6,3,179.0,-1,0,250891501,Хамовники, Остоженка,11,Кропоткинская,Остоженка 11
64,Hutton Development,developer,https://www.cian.ru/sale/flat/293911275/,Москва,sale,flat,-1,-1,-1,202.0,-1,0,180000000,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
65,ID 1390606,real_estate_agent,https://www.cian.ru/sale/flat/299735585/,Москва,sale,flat,5,14,3,110.0,-1,0,198800000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
66,MR Group,developer,https://www.cian.ru/sale/flat/294196808/,Москва,sale,flat,33,41,2,75.2,-1,0,38352000,Филевский парк,Багратионовский проезд,5Ак1,Фили,Filicity
67,ID 109135729,realtor,https://www.cian.ru/sale/flat/300650864/,Москва,sale,flat,3,11,3,118.71,-1,0,126890000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
68,ЭЛИТА-ЭКО,developer,https://www.cian.ru/sale/flat/292406325/,Москва,sale,flat,2,14,2,41.49,-1,0,36635670,Дорогомилово,1-й Можайский тупик,8АС1,Киевская,D'ORO MILLE
69,TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/298209370/,Москва,sale,flat,8,14,4,172.0,-1,0,210000000,Таганский,Тетеринский переулок,18с2,Таганская,Шоколад
70,Sminex,developer,https://www.cian.ru/sale/flat/299262063/,Москва,sale,flat,9,14,2,67.0,-1,0,36920000,Раменки,проспект Генерала Дорохова,39к2М,,Собрание клубных домов West Garden
71,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299943782/,Москва,sale,flat,17,33,1,41.5,-1,0,27000000,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,Level Причальный
72,Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/293721204/,Москва,sale,flat,3,13,2,82.36,-1,0,43963768,,,В20 кв-л,Павшино,Сберсити ЖК
73,ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/298210838/,Москва,sale,flat,13,44,1,60.9,-1,0,27600000,Хорошево-Мневники,к2/2,к2/2,Шелепиха,Сидней Сити ЖК
74,ID 39404589,developer,https://www.cian.ru/sale/flat/300713407/,Москва,sale,flat,21,34,2,42.6,-1,0,20324460,Обручевский,,,Калужская,Эвер ЖК
75,Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/300364688/,Москва,sale,flat,9,10,3,60.0,-1,0,28000000,ЛУЧШАЯ кв-ра в е!Свежий ремонт3-комн. квартира,60 м²,,,
76,5 ДОНСКОЙ,developer,https://www.cian.ru/sale/flat/299380235/,Москва,sale,flat,12,75,1,42.41,-1,0,21559081,Донской,5-й Донской проезд,вл21к6,Площадь Гагарина,The Five
77,Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/298804885/,Москва,sale,flat,2,8,3,98.3,-1,0,77000000,Басманный,Фурманный переулок,8С2,Красные ворота,Фурманный 8С2
78,Киноцентр,developer,https://www.cian.ru/sale/flat/299129293/,Москва,sale,flat,4,20,2,73.02,-1,0,60173080,Пресненский,,,Краснопресненская,Скай Вью ЖК
79,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/294872333/,Москва,sale,flat,17,18,2,117.0,-1,0,179000000,Пресненский,2-я Звенигородская ,11,Улица 1905 года,Резиденция МОНЭ
80,Главстрой,developer,https://www.cian.ru/sale/flat/296921093/,Москва,sale,flat,3,18,2,78.7,-1,0,28347228,Филевский парк,Береговой проезд,2,Народное Ополчение,Береговой-2
81,MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299189573/,Москва,sale,flat,10,14,5,170.0,-1,0,120000000,Раменки,проспект Генерала Дорохова,39к2А,Минская,Собрание клубных домов West Garden
82,EraOneHolding,developer,https://www.cian.ru/sale/flat/280427150/,Москва,sale,flat,3,5,2,178.6,-1,0,150400000,Арбат, Арбат,39,Смоленская,Artisan
83,Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/294608040/,Москва,sale,flat,2,6,4,214.0,-1,0,330000000,Раменки,Минская ,2Вк3,Минская,Снегири Эко
84,Стадион Спартак,developer,https://www.cian.ru/sale/flat/289490603/,Москва,sale,flat,4,10,2,60.1,-1,0,29485060,Покровское-Стрешнево,Северо-Западный ао,,Спартак,Клубный Город на Реке Примавера ЖК
85,MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/298983974/,Москва,sale,flat,2,7,4,248.0,-1,0,100000000,Крылатское,Крылатская ,45К4,Крылатское,Долина грез
86,MR Group,developer,https://www.cian.ru/sale/flat/299093496/,Москва,sale,flat,18,41,1,37.7,-1,0,24335267,Даниловский,Дубининская ,59к7,Павелецкая,Павелецкая Сити
87,ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/298216770/,Москва,sale,flat,13,44,2,73.2,-1,0,35100000,Хорошево-Мневники,к2/2,к2/2,Шелепиха,Сидней Сити ЖК
88,MR Group,developer,https://www.cian.ru/sale/flat/300397138/,Москва,sale,flat,3,54,2,59.94,-1,0,29501209,Хорошево-Мневники, Мневники,,Полежаевская,JOIS
89,ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/298155359/,Москва,sale,flat,23,43,1,37.9,-1,0,14700000,Покровское-Стрешнево,,,Трикотажная,Скай Гарден ЖК
90,Sminex,developer,https://www.cian.ru/sale/flat/293713671/,Москва,sale,flat,2,14,1,72.6,-1,0,133260000,Якиманка,,,Полянка,Лаврушинский ЖК
91,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Москва,sale,flat,7,9,2,108.3,-1,0,194940000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
92,VESPER,developer,https://www.cian.ru/sale/flat/287317369/,Москва,sale,flat,5,21,1,65.9,-1,0,78259545,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
93,Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/293660144/,Москва,sale,flat,2,14,4,131.0,-1,0,84000000,Раменки,проспект Генерала Дорохова,39к1Г,Минская,Собрание клубных домов West Garden
94,Prime Life Development,developer,https://www.cian.ru/sale/flat/300257013/,Москва,sale,flat,8,28,2,58.91,-1,0,28980203,Нагатино-Садовники,Нагатинская ,к1вл1,Нагатинская,1-й Нагатинский
95,Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/279414783/,Москва,sale,flat,5,14,5,136.0,-1,0,91000000,Раменки,,к9,Минская,Вест Гарден ЖК
96,Sminex,developer,https://www.cian.ru/sale/flat/294328835/,Москва,sale,flat,3,6,1,78.7,-1,0,160420000,Басманный,Потаповский переулок,5С4,Чистые пруды,Чистые Пруды
97,ID 85604823,unknown,https://www.cian.ru/sale/flat/299433436/,Москва,sale,flat,6,15,3,100.0,-1,0,50000000,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
98,Пионер,developer,https://www.cian.ru/sale/flat/297834627/,Москва,sale,flat,4,11,3,85.3,-1,0,65114778,Даниловский,,,Павелецкая,Опус ЖК
99,Bestcon,real_estate_agent,https://www.cian.ru/sale/flat/298835229/,Москва,sale,flat,8,20,3,67.44,-1,0,28324800,Преображенское,Лермонтовская ,1,Преображенская площадь,
100,MR Group,developer,https://www.cian.ru/sale/flat/286545629/,Москва,sale,flat,6,11,2,75.79,-1,0,49263500,Филевский парк,,,Фили,Фили Сити ЖК
101,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/295277285/,Москва,sale,flat,6,6,2,122.3,-1,0,68000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
102,Sminex,developer,https://www.cian.ru/sale/flat/297972146/,Москва,sale,flat,3,5,3,112.4,-1,0,258140000,Тверской,,,Площадь Революции,Ильинка 3/8 ЖК
103,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298752950/,Москва,sale,flat,2,13,3,103.0,-1,0,193000000,Хамовники,Погодинская ,2,Киевская,Жизнь на Плющихе
104,MR Group,developer,https://www.cian.ru/sale/flat/298278959/,Москва,sale,flat,2,37,2,64.3,-1,0,41203472,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
105,ID 109135729,realtor,https://www.cian.ru/sale/flat/300650875/,Москва,sale,flat,3,21,2,51.0,-1,0,52000000,Пресненский,2-я Звенигородская ,12С19,Улица 1905 года,Lucky
106,Capital Group,developer,https://www.cian.ru/sale/flat/287996148/,Москва,sale,flat,11,18,2,45.8,-1,0,56907301,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
107,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/297459147/,Москва,sale,flat,3,21,2,51.0,-1,0,52000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
108,Sense Development,developer,https://www.cian.ru/sale/flat/300501957/,Москва,sale,flat,7,13,2,63.7,-1,0,35120619,Даниловский,Подольское шоссе,3,Тульская,Logos
109,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300417156/,Москва,sale,flat,10,37,4,112.8,-1,0,110000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
110,Основа,developer,https://www.cian.ru/sale/flat/286886774/,Москва,sale,flat,-1,-1,-1,3.0,-1,0,29700000,Замоскворечье,Большой Строченовский переулок,9,Павелецкая,Резиденции Замоскворечье
111,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300540936/,Москва,sale,flat,2,37,1,40.3,-1,0,27500000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
112,Regions Development,developer,https://www.cian.ru/sale/flat/300783261/,Москва,sale,flat,4,16,2,57.31,-1,0,25159630,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
113,,,https://www.cian.ru/sale/flat/298838946/,Москва,sale,flat,4,7,4,199.6,-1,0,359280000,Хамовники,2-й Неопалимовский переулок,3,Парк Культуры,Клубный особняк High Garden
114,ID 39404589,developer,https://www.cian.ru/sale/flat/300767942/,Москва,sale,flat,16,22,1,27.9,-1,0,12786570,Нагорный,,1,Нагорная,Твелв ЖК
115,ID 413522,realtor,https://www.cian.ru/sale/flat/300685682/,Москва,sale,flat,4,7,3,137.0,-1,0,285000000,Таганский,Большой Николоворобинский переулок,9к1,Китай-город,Дом NV/9
116,MR Group,developer,https://www.cian.ru/sale/flat/290790439/,Москва,sale,flat,2,57,2,58.48,-1,0,31267474,Филевский парк,,,Фили,Фили Сити ЖК
117,White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299860952/,Москва,sale,flat,3,40,1,45.5,-1,0,34500000,Хорошевский,Ленинградский проспект,37/4,Динамо,Прайм Парк
118,Regions Development,developer,https://www.cian.ru/sale/flat/300533806/,Москва,sale,flat,4,6,1,42.4,-1,0,22463285,Нагатинский затон,проспект Андропова,9/1к3,Технопарк,Dream Towers
119,White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/300193785/,Москва,sale,flat,35,40,4,215.6,-1,0,226380000,Хорошевский,Ленинградский проспект,37/4,Динамо,Прайм Парк
120,СЗ Варшава,representative_developer,https://www.cian.ru/sale/flat/300113464/,Москва,sale,flat,2,9,1,52.8,-1,0,58080000,Якиманка,Ленинский проспект,2,Октябрьская,Клубный дом CULT
121,White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/300468311/,Москва,sale,flat,37,41,3,97.2,-1,0,72500000,Хорошевский,Ленинградский проспект,37/3,Динамо,Прайм Парк
122,Capital Group,developer,https://www.cian.ru/sale/flat/288136857/,Москва,sale,flat,59,85,2,80.6,-1,0,69891551,Пресненский,1-й Красногвардейский проезд,21с2,Москва-Сити,МФК ОКО
123,White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299860953/,Москва,sale,flat,9,41,1,40.5,-1,0,27000000,Хорошевский,Ленинградский проспект,37/3,Динамо,Прайм Парк
124,MR Group,developer,https://www.cian.ru/sale/flat/299928841/,Москва,sale,flat,7,17,1,61.96,-1,0,83958898,Мещанский,м. Цветной бульвар,,Цветной бульвар,Клубный дом Forum
125,White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/298562397/,Москва,sale,flat,3,40,2,81.7,-1,0,59500000,Хорошевский,Ленинградский проспект,37/4,Динамо,Прайм Парк
126,ID 39404589,developer,https://www.cian.ru/sale/flat/300783322/,Москва,sale,flat,14,27,1,28.1,-1,0,18734270,Даниловский,,,Серпуховская,Era
127,White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/273469240/,Москва,sale,flat,37,41,4,135.3,-1,0,125000000,Хорошевский,Ленинградский проспект,37/6,Динамо,Прайм Парк
128,Балтийская Строительная Компания,developer,https://www.cian.ru/sale/flat/297286573/,Москва,sale,flat,3,13,2,122.7,-1,0,98763758,Арбат, Новый Арбат,,Смоленская,Звёзды Арбата
129,White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/292933473/,Москва,sale,flat,16,40,1,41.1,-1,0,31500000,Хорошевский,Ленинградский проспект,37/4,Динамо,Прайм Парк
130,5 ДОНСКОЙ,developer,https://www.cian.ru/sale/flat/299380246/,Москва,sale,flat,12,75,3,96.05,-1,0,45778678,Донской,5-й Донской проезд,вл21к6,Площадь Гагарина,The Five
131,White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/293781651/,Москва,sale,flat,10,41,4,112.8,-1,0,110000000,Хорошевский,Ленинградский проспект,37/6,Динамо,Прайм Парк
132,Hutton Development,developer,https://www.cian.ru/sale/flat/299767441/,Москва,sale,flat,6,8,1,48.3,-1,0,34486200,Гагаринский,м. Ленинский проспект,,Ленинский проспект,Лунар ЖК
133,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/293668197/,Москва,sale,flat,4,5,3,150.8,-1,0,219580001,Пресненский,Леонтьевский переулок,11,Тверская,Леонтьевский 11
134,Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/299654858/,Москва,sale,flat,13,27,2,70.8,-1,0,28036800,Басманный, Фридриха Энгельса,56,Бауманская,Дом 56
135,ID 22653,real_estate_agent,https://www.cian.ru/sale/flat/299755678/,Москва,sale,flat,5,5,3,120.4,-1,0,127000000,Пресненский,Большой Патриарший переулок,4,Пушкинская,
136,Ташир,developer,https://www.cian.ru/sale/flat/274701405/,Москва,sale,flat,2,17,2,43.3,-1,0,26659810,Раменки,Мичуринский проспект,вл30Б,Раменки,Legacy
137,Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/288962979/,Москва,sale,flat,4,6,3,143.7,-1,0,167000000,Пресненский,Большой Гнездниковский переулок,3,Пушкинская,Респект
138,GloraX,developer,https://www.cian.ru/sale/flat/300398314/,Москва,sale,flat,10,21,2,67.62,-1,0,37679999,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская
139,ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/300071756/,Москва,sale,flat,15,23,1,34.3,-1,0,9500000,, Бачуринская,9Ак2,Коммунарка,Новая Звезда
140,Sminex,developer,https://www.cian.ru/sale/flat/300266286/,Москва,sale,flat,3,14,1,51.4,-1,0,50980000,Пресненский,Электрический переулок,1с22,Белорусская,Квартал Тишинский бульвар
141,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/284759259/,Москва,sale,flat,3,6,5,145.8,-1,0,214916370,Пресненский,Скатертный переулок,22,Арбатская,
142,LEGENDA Intelligent Development,developer,https://www.cian.ru/sale/flat/300381034/,Москва,sale,flat,5,34,2,59.1,-1,0,23699100,Левобережный,Ленинградское шоссе,,Беломорская,Северный порт. Береговые кварталы
